proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc05g020010.1.1	0	2007500	0	1581700	4607200	1994600	1047900	1825200	1600600	171650000	457370000	154390000
Solyc05g023710.2.1	13058000	12108000	12815000	13950000	9352600	7387500	10619000	18441000	13904000	7720000	3261900	12295000
Solyc05g024240.2.1	50503000	39767000	19958000	43255000	46391000	51625000	36564000	38131000	60889000	52894000	50044000	72586000
Solyc05g024430.2.1	0	0	0	0	0	0	0	0	0	0	713200	0
Solyc05g025740.2.1	8940200	6067400	7190000	7803700	9457800	10355000	8582900	7863800	10880000	13846000	9749600	16318000
Solyc05g025750.2.1	0	0	307180	0	0	0	0	0	0	0	0	0
Solyc05g026310.2.1	0	995540	737630	720500	987300	742670	2109500	0	739610	4085000	3199400	1883400
Solyc05g026510.2.1	113600000	99026000	144460000	134980000	90121000	97131000	108960000	91627000	126140000	105020000	70138000	116310000
Solyc05g026540.2.1	66660000	98854000	76084000	148180000	118710000	105630000	97651000	102170000	98857000	197660000	183320000	175890000
Solyc05g032770.2.1	850850	602150	911720	0	546570	0	1059500	0	849540	545550	0	0
Solyc05g040050.1.1	2350500	1958600	2744700	2861000	1834000	0	2680900	1635000	1613800	0	871000	0
Solyc05g042030.2.1	3672100	4710600	7076700	2538700	2838000	3923600	5475300	3166100	3501300	3377000	0	2798800
Solyc05g047420.2.1	0	2244600	0	2508200	1543200	0	0	2107600	0	1899700	0	0
Solyc05g047450.1.1	4727800	3428200	5748800	4777500	4052200	3439800	4181400	4999700	4870200	3993700	1338000	2978400
Solyc05g047520.2.1	7350100	6545200	10005000	6030300	4436300	3698800	6953500	6141500	5879000	5832100	3987400	10442000
Solyc05g047690.2.1	11094000	60936000	15409000	23097000	40055000	21781000	24666000	27374000	8540700	20824000	15005000	36974000
Solyc05g049880.2.1	0	0	0	0	0	2113300	0	0	0	0	0	0
Solyc05g049940.2.1	0	0	203390	0	0	0	0	0	0	0	0	0
Solyc05g049950.2.1	59276000	172050000	1.58e+08	124710000	120300000	1.37e+08	126240000	235360000	149550000	129870000	69809000	120930000
Solyc05g049960.2.1	0	0	396610	0	0	0	0	0	0	0	0	0
Solyc05g050600.2.1	19343000	23503000	12615000	22780000	19624000	21156000	16514000	22708000	14918000	26776000	17909000	21632000
Solyc05g050680.2.1	4250500	4419800	3511900	6819700	8413000	4078900	4950700	7565100	3899700	4935700	2021700	4282300
Solyc05g050810.2.1	16135000	0	0	0	0	0	0	0	0	0	0	0
Solyc05g051000.2.1	0	0	0	0	0	1374000	0	0	0	0	0	0
Solyc05g051070.2.1	83652000	97719000	98295000	125080000	113290000	94303000	114350000	86195000	95939000	81479000	64670000	108690000
Solyc05g051290.2.1	545080000	324180000	288330000	479770000	327360000	563260000	558210000	290710000	316340000	334170000	97011000	237020000
Solyc05g051620.2.1	4042000	3956300	4642700	2286000	2140000	4246300	4140200	2134200	4841300	2798000	0	4959100
Solyc05g051790.2.1	21308000	31517000	14280000	32974000	20350000	17152000	29723000	21171000	21794000	16583000	9305500	29329000
Solyc05g052160.2.1	6252300	0	0	0	0	0	0	0	0	0	0	0
Solyc05g052200.2.1	0	1752800	0	0	1331300	0	0	0	1480800	8147300	4300000	2340500
Solyc05g052220.2.1	0	0	390010	0	0	0	0	0	0	0	0	0
Solyc05g052350.2.1	0	0	602250	0	0	0	0	0	0	0	0	0
Solyc05g052470.2.1	1606900	1484800	1490100	1548400	1973800	2021100	5592600	2134900	2300700	0	0	1378400
Solyc05g052710.2.1	0	1254000	0	0	0	0	0	0	0	1409200	2975200	1667800
Solyc05g053000.1.1	1422000	2531300	2397400	2457300	5271500	0	3963300	6143600	8341100	2331700	0	2370700
Solyc05g053220.2.1	0	4309300	3108900	4581700	3599000	0	2230100	4671300	8049100	838090	0	3322000
Solyc05g053230.2.1	0	1291400	0	1489200	1642800	0	1944100	1840500	0	2868700	2159300	2116500
Solyc05g053430.2.1	16627000	14738000	14269000	26489000	16728000	6161100	19380000	25282000	14128000	10478000	6989000	10563000
Solyc05g053670.2.1	0	0	0	0	0	0	9556200	0	0	0	0	0
Solyc05g053720.2.1	2608400	4881700	2269900	5079700	4169000	5533100	3706600	3560100	3074700	6221500	6760400	4745900
Solyc05g053800.2.1	12588000	12010000	13540000	10171000	8837900	8766200	13685000	8758500	12616000	6006000	2741200	8675800
Solyc05g053810.2.1	3313300	8631000	5568700	4378300	12073000	6296700	3263900	5543800	4592400	16750000	35600000	9029000
Solyc05g053830.2.1	0	0	0	0	0	1738000	0	0	0	7584700	21831000	4313800
Solyc05g053880.2.1	0	0	0	0	0	0	2256300	0	0	0	0	0
Solyc05g054070.2.1	5770600	7317400	9833700	4272300	8014200	5345400	7816700	7614400	9598600	5452400	6047200	8690900
Solyc05g054100.2.1	0	0	0	0	0	0	0	0	0	471380	0	0
Solyc05g054140.2.1	9243700	6664600	6433000	4659200	5088000	2968700	7687900	6254900	6246100	6072900	2117100	2635700
Solyc05g054180.2.1	0	0	0	0	0	0	0	0	4402900	4662800	0	4906200
Solyc05g054260.2.1	0	0	0	0	0	0	0	0	0	0	0	2400600
Solyc05g054350.2.1	0	0	0	0	0	0	0	0	0	545220	887900	0
Solyc05g054370.2.1	46638000	65572000	35865000	78548000	99057000	67875000	88151000	92376000	103370000	175240000	125920000	152110000
Solyc05g054490.2.1	6380300	7241900	5648300	9143600	9034800	6225000	6354400	8475000	6011900	8375600	6839700	6723300
Solyc05g054500.1.1	1794900	1403400	1865000	2082700	2470200	2125500	1567900	1748800	3036000	1642700	0	4542100
Solyc05g054630.2.1	311230000	74727000	83234000	213910000	57795000	23287000	180830000	0	119180000	173440000	0	1.18e+08
Solyc05g054830.2.1	0	0	0	0	0	0	0	0	0	1726000	0	927550
Solyc05g054910.2.1	2094000	2254000	2052300	2084400	0	0	1666700	2520200	3957800	2773500	2495300	3532200
Solyc05g054920.2.1	63527000	74104000	55333000	57205000	56532000	41904000	59401000	63719000	52723000	47719000	27606000	54809000
Solyc05g055060.2.1	4071400	3106100	3475000	2747400	5710900	2085800	3114900	3866100	3577400	1698400	1590700	4070900
Solyc05g055110.2.1	6063100	7938100	9047300	14478000	11760000	6492200	15334000	11404000	9035400	6330500	5213300	6047100
Solyc05g055160.2.1	3578700	2636500	4699200	0	1580400	2100900	2312100	1412700	4560000	2568100	2230500	4115500
Solyc05g055170.2.1	0	0	0	0	0	0	0	0	0	84774	0	0
Solyc11g006660.1.1	0	0	2420600	0	0	2935600	2251300	0	0	3819200	5893200	8137000
Solyc11g006690.1.1	1206800	7625300	3635400	3131400	10087000	5055400	2377800	2995200	3572700	11993000	36936000	8992900
Solyc05g055260.2.1	4461200	26470000	0	16344000	20033000	24165000	16064000	29694000	21965000	17786000	11600000	13335000
Solyc05g055350.2.1	0	0	0	0	1458600	0	0	0	0	0	0	0
Solyc05g055440.1.1	158850000	686190000	1459200	348250000	225390000	14413000	665890000	500430000	4220700	279410000	115260000	6581000
Solyc11g008510.1.1	0	0	0	0	0	0	0	707020	0	0	0	0
Solyc05g055770.2.1	0	0	0	454080	0	462050	0	0	0	2053700	3047800	618660
Solyc05g055880.2.1	22980000	21570000	14389000	28205000	20364000	20519000	17137000	23265000	25165000	15183000	5572200	19666000
Solyc05g056050.2.1	2610400	2083000	11145000	1654900	2105400	14065000	1489100	2558200	12938000	35236000	80689000	35239000
Solyc05g056070.2.1	594870	1778400	47212000	0	12335000	28638000	642770	15372000	13837000	62204000	162870000	151370000
Solyc05g056130.2.1	21940000	12671000	12142000	25069000	21679000	27224000	24540000	15781000	25098000	41309000	40728000	20677000
Solyc05g056160.2.1	0	0	641370	938960	0	1643300	955840	891380	513150	1372400	1889000	1273500
Solyc05g056210.2.1	10781000	13258000	14518000	13852000	13474000	16259000	15506000	15801000	10371000	10827000	11420000	18212000
Solyc05g056220.2.1	1910400	2348400	3913500	2204600	1931200	1572200	2991300	2410800	3271000	2154000	1542200	1799500
Solyc05g056230.2.1	0	0	0	0	1364100	1391500	0	0	0	3711400	8477900	3409300
Solyc05g056250.2.1	0	0	0	0	0	0	0	0	0	0	1277400	0
Solyc05g056260.2.1	0	0	0	0	0	0	0	0	0	582520	1822900	493710
Solyc05g056280.2.1	0	0	0	0	0	3318500	0	2953400	0	4093400	0	3329600
Solyc05g056330.2.1	1136900	663910	1777100	0	613740	0	1304100	575620	1561600	729150	0	0
Solyc05g056340.2.1	5694400	4279800	6337800	6935100	4920500	1609700	7171500	5221400	8169600	8397800	3067100	6742300
Solyc05g056530.2.1	4755100	3808200	4905700	4552700	4498200	3820400	3847000	3403100	4464300	2099100	0	3707700
Solyc06g009970.2.1	2675200000	2556700000	1404300000	2355700000	4802700000	1882900000	2.139e+09	3259600000	3012900000	8900700000	1.0129e+10	6032900000
Solyc06g005160.2.1	0	937440	736340	797830	1274100	2519400	849980	937830	1075800	7571500	15251000	7589000
Solyc06g005390.1.1	0	2082300	1891500	997520	1935000	4493800	2518600	6102500	777080	2184700	716270	2020100
Solyc06g005500.2.1	1250900	0	1580400	4374500	1589800	1303500	0	2370300	1217100	10167000	5901400	11218000
Solyc06g005570.2.1	41391000	35860000	47265000	37966000	32599000	10423000	36367000	40713000	37740000	31019000	14940000	30289000
Solyc06g005600.2.1	0	0	0	0	526540	0	0	0	0	0	0	0
Solyc06g005710.2.1	228360000	277110000	169640000	238020000	363100000	273150000	229310000	206830000	169800000	950480000	2.571e+09	570320000
Solyc06g005790.2.1	0	0	0	0	0	8999400	0	0	0	0	0	3154200
Solyc06g005800.2.1	0	0	0	0	895830	0	0	0	0	0	0	0
Solyc06g005860.1.1	3556800	4310100	3468500	4162000	3197800	4584500	4018000	4245600	2712500	3063400	3000600	4898200
Solyc06g007360.2.1	0	0	0	774830	0	0	0	0	0	0	0	0
Solyc06g007470.2.1	57064000	76913000	16686000	69614000	56658000	57185000	50687000	56954000	25698000	90355000	91681000	34820000
Solyc06g082650.2.1	20150000	23495000	15724000	15357000	14699000	32697000	16875000	16787000	17849000	28916000	40248000	21648000
Solyc06g007670.2.1	15820000	30431000	34648000	30086000	28552000	32842000	19447000	61160000	40259000	33300000	27150000	35819000
Solyc06g007910.2.1	0	0	0	0	856830	0	0	0	0	0	167650	0
Solyc06g007980.2.1	0	0	0	0	0	0	0	0	0	4719400	3674300	0
Solyc06g008070.2.1	0	10504000	0	0	0	0	0	0	0	0	0	0
Solyc06g008110.2.1	27260000	31409000	21679000	41953000	47264000	29570000	25746000	35200000	28542000	37885000	29243000	28335000
Solyc06g008120.1.1	0	0	0	0	0	0	0	0	0	0	0	41595
Solyc06g008150.2.1	140410000	96536000	156700000	96374000	74940000	223240000	126490000	88111000	136270000	99069000	30585000	123690000
Solyc09g090610.2.1	44125000	31992000	23374000	43082000	37071000	36674000	39102000	28390000	27802000	28796000	27243000	36332000
Solyc06g008220.2.1	452060	0	494030	0	0	0	310970	0	1225300	0	0	0
Solyc06g008320.2.1	0	0	1189900	1727400	1228700	0	1101800	0	1319800	1715600	1254700	1825100
Solyc06g008850.2.1	4521500	4789700	5220300	4859200	5391900	1311900	3687300	5039000	6273900	2797800	0	2473500
Solyc06g008860.2.1	4960700	19542000	33209000	23648000	38044000	32613000	8666400	22368000	17252000	6043100	23543000	17766000
Solyc06g008970.2.1	5296600	4073600	6395400	3371700	4317900	4679200	10106000	6039700	6317700	5622000	2221900	8946500
Solyc06g009060.2.1	47713000	73052000	47784000	56685000	61155000	53211000	53503000	60855000	41851000	38917000	17790000	26150000
Solyc06g009190.2.1	22710000	18112000	52142000	28338000	28407000	16930000	22753000	37834000	41151000	34266000	20742000	50503000
Solyc06g009210.2.1	36152000	70208000	57378000	40314000	41306000	56388000	45495000	57610000	81082000	48520000	61178000	48844000
Solyc06g009270.2.1	0	0	0	0	0	0	0	0	0	904210	0	0
Solyc06g009530.2.1	6197900	9985400	4814700	4600700	7246100	7730800	8154400	9556600	6719200	12701000	16851000	9655300
Solyc06g009750.2.1	5223900	7768700	6273700	5274400	13279000	8789500	4368800	11822000	17518000	6959600	9656600	13177000
Solyc06g009950.1.1	0	0	0	0	0	0	0	0	0	0	14550000	0
Solyc06g011280.2.1	8378700	6992600	1749000	7720600	9775000	3673400	7820000	5095000	2377000	20422000	58158000	12166000
Solyc06g011400.2.1	0	0	0	0	0	0	0	0	0	0	1320100	0
Solyc06g018110.2.1	10159000	7004100	6176700	11096000	9273300	5387000	9378800	9886000	6482000	7591400	2963300	4256900
Solyc06g019170.2.1	0	395330	0	0	0	0	0	0	0	0	0	0
Solyc06g034100.2.1	0	162030	0	0	0	0	0	0	0	0	0	0
Solyc06g034220.2.1	0	0	2628400	0	0	0	0	0	0	0	0	0
Solyc06g034360.1.1	0	0	0	0	0	0	607150	0	0	0	0	0
Solyc06g035450.2.1	10145000	7138500	6421900	16161000	12714000	19205000	7593900	13153000	11902000	12700000	3333100	9752800
Solyc06g035460.2.1	16539000	13083000	32052000	20451000	26825000	26207000	18977000	25382000	39656000	16048000	6226500	53589000
Solyc06g035920.2.1	79263000	45836000	67873000	57591000	3.3e+07	64115000	88013000	38778000	85105000	52020000	40062000	74962000
Solyc06g035970.2.1	4773800	3829500	3867700	0	0	0	2717700	0	0	0	0	2878500
Solyc06g036350.2.1	0	0	0	0	0	0	0	0	0	0	158380	0
Solyc06g036580.2.1	122090000	137480000	142940000	141810000	143090000	118630000	145190000	183210000	111920000	109430000	65423000	81473000
Solyc06g036590.1.1	17604000	18349000	16814000	26758000	22013000	21838000	15564000	20358000	13662000	14947000	10355000	12299000
Solyc06g043170.2.1	4782100	4619700	6118000	6289200	5494700	6472100	4693800	5963700	5601500	5886900	3806100	3716400
Solyc06g048410.2.1	0	2947800	0	0	0	0	1342900	0	0	0	4184200	0
Solyc06g048610.2.1	971010	1337900	440880	0	1697100	1128800	958290	1385900	0	1199600	1225400	763410
Solyc06g048630.2.1	0	0	0	0	0	618630	0	0	0	0	0	0
Solyc06g048730.2.1	0	2093900	0	2933600	2012000	0	0	2665000	0	16030000	18201000	3110000
Solyc06g050120.2.1	0	5863500	0	2274300	10281000	0	2700100	4863600	0	1874200	1994800	506310
Solyc06g050510.2.1	0	0	140780	0	0	0	0	0	0	0	0	0
Solyc06g050560.2.1	2632000	3810200	2336900	2332900	2685300	1791700	1808300	2406000	1825700	2108400	1713100	1522000
Solyc06g050590.2.1	0	0	0	0	0	0	0	0	0	196990	0	0
Solyc06g050720.2.1	0	0	0	0	0	821950	0	0	473840	1114900	0	685470
Solyc06g050980.2.1	951570000	380400000	518480000	464250000	410840000	897480000	850970000	399380000	631180000	399240000	166140000	284460000
Solyc06g051200.2.1	33774000	144200000	96872000	32528000	39911000	91603000	87063000	74240000	87026000	57831000	69804000	145930000
Solyc06g051210.2.1	0	0	1191100	0	0	0	0	0	0	0	0	0
Solyc06g051420.2.1	6449800	4096200	6301400	4394700	2202400	6321500	5871700	2302600	3989000	5726100	2105100	2643300
Solyc06g051810.2.1	0	0	0	0	0	0	1215300	0	0	0	0	0
Solyc06g051960.2.1	14396000	9083900	16356000	15626000	12495000	9542000	11093000	9642100	10366000	6068600	4129400	8560100
Solyc06g052030.2.1	1544200	1538400	2147000	0	1605400	0	1895500	1376300	2819700	1805800	1817100	3987700
Solyc06g052080.2.1	10818000	9561500	6972300	10325000	8854300	6504200	12452000	19766000	6557800	9007300	8868900	8254200
Solyc06g053330.2.1	13998000	7554600	10173000	14261000	14794000	9225900	15291000	17258000	8704400	6360900	4097900	8965000
Solyc06g053570.2.1	7938500	4469000	13167000	8560100	3456300	4779100	24253000	4799800	10679000	3361900	1338500	8016100
Solyc06g053590.2.1	5428000	4252500	6221900	7243600	2580000	2354300	8380300	5616100	6113600	2986600	2194200	3138300
Solyc06g053820.2.1	0	3582600	0	0	0	1726400	0	1135300	1646200	1746200	4966300	0
Solyc06g054560.2.1	36698000	44683000	56755000	56379000	43216000	34414000	50562000	40372000	35293000	31520000	23038000	24802000
Solyc06g060120.2.1	9037800	6539300	10352000	9271900	7500600	2226900	11063000	9267800	10373000	5674300	2906000	5203600
Solyc06g060150.2.1	46922000	36477000	38514000	34046000	38791000	57968000	38986000	35219000	34587000	27998000	16139000	31882000
Solyc06g060230.2.1	0	0	0	0	0	0	0	0	0	225240	0	0
Solyc06g060290.2.1	4455300	7553000	6946600	9423300	16011000	4422700	8270400	8403200	0	10946000	9727700	0
Solyc06g060340.2.1	22395000	165970000	75787000	51575000	141620000	184140000	61681000	93028000	67101000	318710000	1008700000	381940000
Solyc06g060420.2.1	72572000	47920000	45074000	27193000	60814000	85386000	62233000	61834000	52244000	55794000	40321000	57156000
Solyc06g060520.1.1	0	0	7391900	3888400	4452700	6764700	3857800	5640700	8978900	0	0	0
Solyc06g060730.2.1	0	0	696000	0	0	0	0	0	748050	0	0	0
Solyc06g060920.2.1	0	0	0	0	0	0	0	0	0	0	0	16917000
Solyc06g060960.1.1	1237800	0	0	0	0	0	0	0	0	0	0	0
Solyc06g061190.1.1	0	0	247600	0	389640	364070	0	0	391100	1043200	2866900	5249800
Solyc06g061240.2.1	114280	0	0	0	0	0	0	0	0	0	0	0
Solyc06g062600.2.1	9397500	9843500	9756000	8732100	5205700	9171700	8243400	10647000	16268000	2315500	2344400	0
Solyc06g062790.2.1	0	0	0	0	0	0	537490	0	0	0	0	0
Solyc06g062850.2.1	6896000	4511200	7936900	5763800	2779400	2555500	5655600	3929800	5320500	3237400	1421700	3284700
Solyc06g062950.1.1	0	0	0	2558000	2808500	0	1541700	0	0	26028000	35049000	10942000
Solyc06g063000.2.1	10253000	9120700	14481000	7788900	10440000	5597300	9108800	10213000	7268100	8115300	6348800	7320400
Solyc06g063130.2.1	0	0	0	0	0	0	0	0	0	125900	0	0
Solyc06g063420.2.1	0	0	0	0	0	0	0	0	0	276690	0	0
Solyc06g064470.2.1	24048000	81246000	64132000	37364000	25897000	30872000	49762000	60964000	81314000	29608000	25681000	31609000
Solyc06g064750.1.1	0	0	0	0	1025400	0	0	0	0	0	0	0
Solyc06g064810.2.1	0	0	0	0	0	0	0	0	0	0	713330	0
Solyc06g064830.2.1	166770000	149530000	151400000	253740000	166460000	156530000	181080000	198240000	173130000	125520000	86100000	103490000
Solyc06g064940.2.1	0	0	0	0	0	0	0	0	0	0	0	352740
Solyc06g065010.2.1	0	0	0	0	0	0	0	0	0	2860700	0	5367200
Solyc06g065170.2.1	0	552910	0	0	0	0	0	0	0	0	0	461310
Solyc06g065190.1.1	0	810960	2162900	0	1067400	2660700	1154800	1030900	1040300	812650	0	809670
Solyc06g065390.2.1	3675900	21534000	45545000	8455500	11400000	7651700	1.7e+07	9646600	3065900	6084200	10673000	3878500
Solyc06g065470.2.1	47584000	162330000	73549000	79398000	97620000	84840000	165620000	110100000	68062000	54028000	36539000	76902000
Solyc06g065520.2.1	503810	633360	0	0	0	0	0	0	0	1035100	1562300	0
Solyc06g065590.2.1	12207000	17797000	8873500	8801100	11455000	9447900	9747200	14320000	10963000	12769000	12528000	11262000
Solyc06g065640.2.1	0	0	0	0	0	0	0	0	0	0	0	0
Solyc06g065700.2.1	8764500	3339200	6517300	7844300	3278700	8639300	8082100	4796800	6338100	8509600	3214900	2894500
Solyc06g065710.2.1	1209100000	465640000	807460000	1142800000	459610000	953900000	1074400000	633180000	847450000	672840000	222820000	503460000
Solyc06g065730.2.1	19208000	16607000	18585000	11360000	16211000	14669000	19741000	15739000	16198000	12459000	6397600	15462000
Solyc06g065950.2.1	0	0	0	0	0	0	0	0	0	278540	590360	343310
Solyc06g066030.2.1	2288200	1805000	2031100	0	0	2587600	1927200	0	0	0	0	0
Solyc06g066320.2.1	0	0	0	0	0	0	0	0	0	1757800	0	1520700
Solyc06g066370.2.1	2401300	0	0	3898500	4400200	0	0	2629400	3058300	5505700	2942600	7375100
Solyc06g066730.2.1	2578100	3788300	2379500	2657100	2858900	2818600	2190900	3989200	3129700	2698700	2183300	2350400
Solyc06g066790.2.1	5199000	5005800	3886100	3421100	0	0	4905500	4514900	0	4240200	0	0
Solyc06g068090.2.1	6914700	11932000	5823100	10135000	11949000	9966000	6574700	9859900	9146400	26498000	33902000	13701000
Solyc06g068140.2.1	3816900	1834100	2981000	2072300	1700900	5699800	5540400	2394000	2091500	2772200	0	3083700
Solyc06g068230.2.1	8848400	9983500	4822300	4483800	7974200	3810100	3834100	4842200	3020900	1775700	1913200	1305400
Solyc06g068320.2.1	0	0	0	1060000	1615300	0	1120700	0	0	1640200	15803000	1104800
Solyc06g068400.2.1	0	0	2180000	0	0	0	1165300	7744200	4788100	0	0	0
Solyc06g069010.2.1	15273000	18100000	23089000	14898000	18945000	25611000	10669000	19791000	22560000	25151000	70306000	34631000
Solyc06g069020.2.1	0	0	0	0	0	0	0	0	0	0	1115200	0
Solyc06g069090.2.1	5691200	56141000	30388000	13700000	25490000	39257000	19799000	20151000	31324000	29395000	39148000	93519000
Solyc06g069440.2.1	1082700	751980	991970	1004700	0	0	1629800	1005500	949280	1164900	945710	0
Solyc06g069470.2.1	1843800	1409900	2514200	0	2847900	2132000	3405100	1942900	2654400	2560500	2403100	2029000
Solyc06g069480.2.1	735060	913620	616970	0	573890	0	0	0	0	1154100	0	697580
Solyc06g069860.2.1	0	0	0	0	0	0	0	0	1920500	0	0	0
Solyc06g069890.2.1	851560	713140	2551800	828430	863430	1005800	0	1206900	2141100	837100	444780	1937500
Solyc06g071010.2.1	19123000	12793000	23805000	22117000	19753000	13942000	16306000	28239000	28660000	10292000	5483700	18241000
Solyc06g071110.2.1	0	0	0	0	0	0	0	0	0	1524300	796250	1125300
Solyc06g071140.2.1	14230000	15874000	26387000	21222000	14176000	14846000	27121000	18251000	14868000	14720000	6703300	16378000
Solyc06g071170.2.1	0	1481000	1223700	1325400	1587700	2771200	1589200	0	1512500	0	0	1246000
Solyc06g071460.2.1	0	0	0	0	0	0	0	0	0	507900	0	0
Solyc06g071470.2.1	0	0	0	0	0	0	0	0	0	871700	1767300	0
Solyc06g071490.1.1	2645000	2560800	4133200	1541400	1829400	6769200	1857000	2067000	3201500	2895300	480000	3075100
Solyc06g071620.2.1	141770000	63098000	137180000	85353000	51343000	135050000	132150000	66845000	82203000	63792000	45807000	162410000
Solyc06g071720.1.1	5130900	19140000	12745000	5757700	13708000	4681800	16749000	9889900	18096000	0	18117000	0
Solyc06g071790.2.1	107560000	167040000	72310000	112080000	193760000	97500000	107510000	139880000	121440000	256960000	544860000	171760000
Solyc06g071850.2.1	424990	0	0	0	0	0	0	0	0	0	0	0
Solyc06g071870.2.1	9253600	17630000	13150000	11130000	10367000	17887000	13675000	12871000	15230000	14013000	20748000	14772000
Solyc06g072040.1.1	0	0	0	0	0	0	0	0	0	535560	0	0
Solyc06g072170.2.1	7257500	14863000	5176800	9397500	12413000	12229000	7005900	9096800	6730600	10989000	9388400	23802000
Solyc06g072300.2.1	48600000	77797000	50452000	63175000	52256000	59327000	63475000	55986000	52778000	106460000	117550000	55926000
Solyc06g072490.2.1	0	15454000	0	0	0	0	0	0	0	0	0	0
Solyc06g072540.1.1	118630000	443500000	42825000	273230000	342960000	311440000	245540000	460400000	173440000	1016900000	3413100000	628110000
Solyc06g072660.2.1	3279200	14667000	14646000	8206300	20504000	7515100	3951100	9178700	8024300	3151000	3441800	3866500
Solyc06g072720.2.1	54663000	51709000	85338000	30578000	42678000	27139000	44864000	33664000	43216000	19040000	32232000	52916000
Solyc06g073090.2.1	0	0	1166300	1327400	0	2103000	1634600	1070400	1462000	14243000	41327000	13541000
Solyc06g073120.2.1	0	0	0	0	0	0	0	1286600	0	0	0	0
Solyc06g073260.2.1	6408900	23362000	3927500	33204000	44289000	22705000	19978000	26108000	14705000	109270000	281710000	84841000
Solyc06g073300.1.1	8948000	19327000	9753700	6953000	26440000	20071000	14121000	12204000	7455900	11291000	29911000	18352000
Solyc06g073310.2.1	21818000	68565000	37497000	35322000	43931000	46296000	38814000	52951000	41270000	60734000	91985000	73517000
Solyc06g073330.2.1	0	0	0	0	0	0	0	0	0	445040	1304200	0
Solyc11g005680.1.1	19416000	30034000	18909000	13175000	29271000	23170000	15548000	24444000	19689000	31211000	85755000	29563000
Solyc06g073510.2.1	750360	0	0	0	925840	0	0	0	0	0	0	0
Solyc06g073540.2.1	43637000	50317000	48604000	40933000	57467000	46721000	30301000	35612000	46228000	29262000	25582000	36440000
Solyc06g073550.2.1	0	0	0	0	0	0	0	0	0	1334300	0	0
Solyc06g073630.2.1	18451000	15519000	14993000	13369000	14897000	13843000	10175000	13477000	14888000	6583900	4927300	11478000
Solyc06g073670.2.1	0	0	0	0	0	0	0	0	1185100	0	0	0
Solyc06g073760.2.1	4307800	2814400	3536200	2873000	3495700	2222100	3812900	3161600	2177400	5699400	1848000	6737600
Solyc06g073780.2.1	256930000	238910000	211110000	355210000	293820000	295140000	261400000	268660000	335920000	219910000	122230000	1.67e+08
Solyc12g042080.1.1	1873900	10046000	2412600	2082300	5387900	3242600	3212500	8588700	3907900	3552400	3505700	2941700
Solyc06g073810.2.1	0	329580	0	731620	709280	0	0	0	0	0	0	0
Solyc06g073900.2.1	0	0	877520	389040	397500	416990	260110	304580	464640	1405200	7888700	377050
Solyc06g073950.2.1	0	0	0	0	0	0	0	0	0	0	0	1388900
Solyc06g074000.1.1	126080000	92032000	134460000	122060000	86225000	93969000	98535000	145680000	105890000	41493000	30593000	70515000
Solyc06g074090.2.1	0	0	0	0	0	0	1832900	0	0	0	0	0
Solyc06g074120.2.1	1737600	932310	1128000	645060	1127000	1027700	2681900	1977600	4502500	638010	0	834490
Solyc06g074290.1.1	0	29370000	8816300	13251000	29428000	20573000	13900000	29176000	15935000	44711000	133450000	87899000
Solyc06g074300.2.1	0	5852700	0	5715700	3850600	0	9514900	4100700	0	3708500	4172000	0
Solyc06g074510.2.1	0	0	0	0	0	0	0	0	0	0	1962400	0
Solyc06g074600.1.1	4837100	3448800	5178300	0	0	0	3276900	1653700	2510500	2550500	0	3036900
Solyc06g074650.2.1	4900300	5874300	5165700	3916300	12096000	5858200	4166900	6567500	8448900	11614000	11288000	10488000
Solyc06g074700.2.1	0	0	0	0	0	0	1766200	0	0	0	0	0
Solyc06g074720.2.1	2148300	7641500	6538300	5373700	4533100	3490300	7289400	5725400	7426700	2965100	1344700	5380500
Solyc06g074730.2.1	0	0	0	0	0	0	0	0	0	7333400	0	0
Solyc06g074780.1.1	4195500	35636000	0	18626000	14843000	0	32049000	38527000	0	16332000	4152100	0
Solyc06g074790.1.1	5759000	52731000	0	26568000	23188000	2887500	38517000	8799500	17425000	32171000	4143200	1136300
Solyc06g074840.2.1	0	0	0	0	0	0	0	0	0	330480	0	0
Solyc06g074980.2.1	8899300	11128000	19719000	10289000	12764000	13733000	8800400	11981000	18019000	17668000	26527000	21981000
Solyc06g075180.1.1	0	0	0	0	0	0	0	0	0	0	6453000	0
Solyc06g075340.2.1	0	0	0	0	0	0	0	0	0	0	580280	0
Solyc06g075390.2.1	4499000	0	0	0	3009800	0	0	0	0	0	0	3630700
