proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc01g066310.2.1	0	0	210140	0	0	0	0	0	0	0	0	0
Solyc01g066690.2.1	0	0	0	0	0	4983400	0	0	4324700	2719300	0	5703100
Solyc01g066700.2.1	0	0	0	0	0	0	0	0	0	1720900	0	0
Solyc01g066840.2.1	0	0	435970	0	1235200	1859500	0	0	0	1525000	4156900	141380
Solyc01g066860.2.1	5366600	8098700	5440100	0	6684600	4970200	4486600	5340100	0	6463800	4964600	2560100
Solyc01g067390.2.1	250900000	360360000	361260000	414010000	362600000	314480000	326500000	314480000	343880000	272790000	158660000	224860000
Solyc01g067560.2.1	871490	0	0	581660	0	0	0	0	0	529150	0	399900
Solyc01g067750.2.1	0	0	0	0	0	0	0	0	0	341020	1419500	317070
Solyc01g067830.2.1	0	0	0	0	0	0	0	0	0	0	0	869240
Solyc01g068210.2.1	38794000	29229000	18208000	28987000	20592000	26607000	41012000	32014000	29332000	11181000	5113400	9210000
Solyc01g068330.2.1	17077000	18453000	19331000	16448000	23685000	7991600	16174000	26226000	22625000	14376000	6897800	26567000
Solyc01g068390.2.1	1059400	0	0	0	0	0	0	0	0	0	0	0
Solyc01g068480.2.1	674330000	436210000	428640000	402750000	483390000	751090000	441340000	336310000	489060000	400370000	361310000	594890000
Solyc01g068530.2.1	23709000	44017000	19763000	22978000	36711000	30445000	30471000	34529000	29669000	34419000	50088000	32005000
Solyc01g073640.2.1	973670	1226300	910420	935900	2154200	956980	1645800	1637300	0	11845000	34022000	10662000
Solyc01g073750.2.1	4121900	1010900	2258500	0	0	0	0	0	0	1136500	0	0
Solyc01g073870.2.1	1978200	1404000	1939000	1541300	0	2645100	2054700	0	4698300	1762900	0	2175500
Solyc01g073940.2.1	1666200	0	0	2396500	2074700	0	2631400	3245900	0	1820700	871230	0
Solyc01g073950.2.1	18022000	10642000	12736000	11220000	15107000	24071000	15266000	11513000	13962000	11305000	5320800	10443000
Solyc01g073960.2.1	37981000	25783000	34124000	64218000	46802000	53078000	42369000	27262000	48777000	32424000	20714000	26377000
Solyc12g056540.1.1	1666900000	3647800000	2087300000	2229100000	1193400000	1.418e+09	2602400000	1253200000	1719200000	1127500000	756990000	1051200000
Solyc01g074030.2.1	642140000	838690000	1237600000	918330000	1493500000	1546400000	569250000	1170100000	2202400000	526900000	295920000	893940000
Solyc01g079110.2.1	0	2432700	0	0	0	0	0	0	0	0	0	0
Solyc01g079210.2.1	21127000	30810000	21789000	35270000	39196000	38214000	28157000	36103000	25048000	20176000	18385000	20879000
Solyc01g079230.2.1	28578000	19381000	29779000	30352000	25205000	34525000	30035000	26148000	29898000	19798000	9010400	25639000
Solyc01g079240.2.1	0	0	0	0	0	0	0	0	0	0	1530600	0
Solyc01g079250.2.1	37953000	33910000	38670000	47774000	39476000	28583000	36220000	42386000	41200000	33231000	23483000	36669000
Solyc01g079330.2.1	0	0	2540500	2450300	3595100	2152600	1444600	2622000	3809700	5777000	3523100	2709400
Solyc01g079390.2.1	0	0	583800	787750	729250	612210	0	0	924250	0	0	0
Solyc06g009660.2.1	0	0	0	0	0	0	0	0	0	1068700	3549900	2107400
Solyc01g079680.2.1	97669000	367950000	330440000	258790000	251910000	259570000	279060000	330900000	292130000	152740000	133740000	266300000
Solyc01g079690.2.1	56474000	53580000	54055000	76642000	51197000	61651000	55683000	65292000	64071000	41121000	22932000	38998000
Solyc01g079700.2.1	5619100	4272500	5005100	4715900	4897300	4864100	5359100	3666100	5229100	3655200	0	3163900
Solyc01g079710.2.1	0	0	0	2519400	0	2437900	0	0	0	0	0	0
Solyc01g080200.2.1	0	0	0	0	0	0	0	0	515780	198330	0	459670
Solyc01g080450.2.1	0	853040	0	0	0	0	0	0	0	0	0	0
Solyc01g080510.2.1	0	2011100	2079000	2748800	2170100	1881500	1815800	1719400	1927800	15061000	4397500	4019300
Solyc01g080660.2.1	718120	0	0	1412700	0	0	0	0	0	0	0	0
Solyc01g080840.2.1	0	124190	156410	176660	228200	126360	205420	0	0	1417400	44953000	666520
Solyc01g081010.2.1	4423900	8186300	4757400	10815000	12832000	10276000	4891700	9571000	5279100	4529000	3132100	4954800
Solyc01g081030.2.1	0	0	168820	0	0	0	0	0	0	0	0	0
Solyc01g081070.2.1	0	0	926550	0	1000700	0	900440	922510	1113700	1767800	7637800	1696600
Solyc01g081150.2.1	1279200	0	0	0	0	0	0	0	321610	0	0	0
Solyc01g081490.2.1	4693800	3560400	3541900	2689400	1859500	1769800	3273300	3023400	2396200	657810	0	0
Solyc01g081500.2.1	5199100	4630200	5583900	5346800	5390800	3845900	5612900	3561900	6682900	6343100	2589100	5768400
Solyc01g081570.2.1	27474000	62364000	144670000	43474000	29765000	41235000	44350000	63691000	117160000	33115000	19724000	54896000
Solyc01g086710.2.1	30289000	18929000	27121000	17526000	20191000	10615000	26559000	19205000	24635000	19530000	8131700	25814000
Solyc01g086750.2.1	44885000	43265000	31030000	24866000	46838000	47190000	39120000	40224000	40939000	52869000	38941000	45154000
Solyc01g086890.2.1	885940	816850	0	1630300	0	0	0	0	0	0	0	0
Solyc01g086980.2.1	109320000	82803000	68829000	136960000	141810000	110470000	90892000	100110000	99537000	76860000	59011000	85745000
Solyc01g086990.2.1	475310000	1099400000	898950000	762480000	1246900000	837420000	553980000	878170000	885020000	855960000	731930000	521830000
Solyc01g087040.2.1	0	0	0	0	0	0	0	0	0	0	2314500	0
Solyc01g087120.2.1	0	829700	435300	389970	678700	543050	660670	353190	395540	1051500	34490000	1842600
Solyc01g087210.2.1	3894800	3106000	2940300	1916900	1704100	2464900	2416300	2325300	3885800	0	0	2078800
Solyc01g087230.2.1	2873600	2432700	3139100	3992400	2080000	1305000	4180500	3094700	2386700	2477000	0	3781300
Solyc01g087430.2.1	14275000	11666000	11444000	13380000	11614000	4038400	11885000	11635000	11993000	7660400	3863500	8533700
Solyc01g087490.2.1	0	0	0	0	0	0	0	0	0	0	0	1578800
Solyc01g087540.2.1	181470000	159280000	317230000	238660000	182490000	122540000	144210000	258650000	224140000	211430000	103390000	208790000
Solyc01g087670.2.1	514850000	330980000	380900000	411620000	420260000	446100000	346160000	349130000	443110000	203910000	132860000	392760000
Solyc01g087730.2.1	46347000	136630000	142080000	97031000	59374000	111770000	66615000	123340000	154090000	90234000	73918000	69032000
Solyc01g087800.2.1	8971800	3120500	7658100	4162300	5348500	5022300	5075600	5255600	6647900	10939000	11523000	7898300
Solyc01g087850.2.1	1057300	0	0	1511300	1503100	1023100	1468300	1931500	1077600	15157000	6146900	1913200
Solyc01g087900.2.1	1669000	2388000	2064800	0	1461100	0	1696100	2001300	1891800	0	0	0
Solyc01g088020.2.1	0	1377400	0	0	0	0	0	0	0	0	0	5188600
Solyc01g088370.2.1	17076000	34057000	10619000	25184000	29718000	31621000	14787000	25911000	29044000	106600000	104930000	43469000
Solyc01g088470.2.1	0	0	245670	0	0	0	0	0	0	0	0	0
Solyc01g088510.2.1	112880000	137860000	85662000	139860000	104760000	111360000	105640000	113480000	76378000	140930000	99575000	110300000
Solyc01g088600.2.1	2014800	2279700	2653100	4226400	2041900	6691400	5826600	2373600	3164200	6275800	9710000	1689200
Solyc01g088700.2.1	2925000	2436400	4506400	5908700	2049300	1490600	2495800	1542300	4627700	8471700	5135500	9334700
Solyc01g088720.2.1	2860700	2719100	1536800	3245800	2336600	2631100	2402300	2952300	2138500	1895600	3190200	1865100
Solyc01g088800.2.1	218810000	220710000	263430000	197760000	185870000	125310000	231380000	260360000	232920000	180630000	92987000	140880000
Solyc01g089870.2.1	0	0	0	0	0	0	0	0	0	0	724920	0
Solyc05g053940.2.1	0	0	0	0	0	0	0	0	0	0	3236200	0
Solyc01g090190.2.1	0	972550	1046200	497410	960020	1169100	0	0	683130	19752000	25257000	8447100
Solyc01g090230.2.1	0	0	0	0	0	0	0	0	202400	0	0	0
Solyc01g090470.2.1	6763600	15270000	8894200	10807000	7370300	9475000	7015600	17546000	11127000	6190200	4731700	5863100
Solyc01g090480.2.1	7567300	7566200	9977200	8216200	5301000	2951800	9012400	8599500	9339600	5946600	3428300	7854100
Solyc01g090670.2.1	55134000	40180000	69356000	58828000	41246000	50084000	52178000	41560000	49470000	45574000	46961000	25180000
Solyc01g090770.2.1	0	1925200	5706000	1441800	1532200	2842200	2412000	3606600	7008200	3859200	2314300	3644700
Solyc01g090780.2.1	0	0	0	0	0	0	0	0	0	281190	0	402660
Solyc01g090910.2.1	1312600	1357100	3224300	0	0	2246800	1797200	0	2078700	1570200	0	2303700
Solyc01g090970.2.1	15511000	21823000	88063000	23554000	26200000	80581000	48937000	27675000	102540000	36064000	10632000	50683000
Solyc01g090990.2.1	0	618010	868470	988110	794370	776970	817490	1114000	0	0	577560	713330
Solyc01g091050.2.1	43953000	23217000	107870000	42512000	38058000	59241000	40423000	24247000	54279000	36947000	22449000	35757000
Solyc11g072260.1.1	43520000	79492000	25962000	50313000	51896000	67765000	46879000	57036000	33341000	43410000	77029000	44280000
Solyc01g091300.2.1	0	0	0	0	0	0	0	0	0	0	0	1427100
Solyc01g091310.2.1	6022800	2016800	1236800	3290800	3398800	2580400	5329100	2372700	1408100	5822500	7053200	3101100
Solyc01g091340.2.1	751010	0	0	980470	928540	0	976510	0	901640	0	0	0
Solyc01g091370.2.1	6237400	5948500	5536000	4913800	6369600	6215200	6813800	6424400	5123700	0	0	0
Solyc01g091640.2.1	6114100	3724000	2592800	4576500	4110300	3161600	7632200	5545600	2605300	4228700	7369500	0
Solyc01g091750.2.1	2389700	2111600	4785200	2823900	2456200	1046300	1891900	3541800	5371900	3791900	2466800	1122700
