proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc05g010670.2.1	1520800	1383300	838900	1500000	5611200	727670	1461300	1337600	775610	8081900	35074000	9073800
Solyc05g012070.2.1	25563000	6146900	834340	16542000	27832000	5862900	3097600	3367100	1184700	2608500	20571000	965410
Solyc05g012260.2.1	10826000	17825000	15142000	12058000	16286000	15148000	17835000	23517000	11742000	14707000	19775000	18327000
Solyc05g012270.2.1	0	0	0	0	0	0	0	0	0	0	803420	0
Solyc05g012400.2.1	0	0	0	1538400	0	0	2301000	0	0	1963900	0	0
Solyc05g012480.2.1	867870	1263100	666040	1445200	1412500	752390	1163600	603470	540340	16819000	114950000	2508800
Solyc05g013160.2.1	0	0	0	0	0	0	0	0	0	302780	2516800	0
Solyc05g013380.2.1	3292000	7982300	3681400	15923000	47248000	5593400	7314500	8966800	14096000	52075000	140960000	68531000
Solyc05g013510.2.1	826970	0	1537700	1373700	0	0	0	0	0	1402900	3144300	0
Solyc05g013690.2.1	135320000	104090000	175400000	146500000	130510000	143290000	131040000	141830000	134020000	39596000	32753000	86679000
Solyc05g014000.2.1	24891000	43390000	55326000	30780000	27846000	20970000	39151000	87598000	73603000	27694000	11475000	41341000
Solyc05g014310.2.1	11619000	12378000	12936000	12841000	28181000	25731000	9704700	10430000	17990000	214190000	177370000	284260000
Solyc05g014470.2.1	13640000	27947000	12711000	19539000	25477000	23003000	25028000	31708000	18642000	53260000	143820000	65067000
Solyc05g014920.1.1	862690	0	0	0	0	0	0	0	0	0	0	0
Solyc05g016440.2.1	1207600	0	1330800	0	497030	0	1196700	560180	1046300	856910	0	983480
Solyc05g017930.1.1	0	0	784660	0	0	0	0	0	0	0	0	0
Solyc05g018590.2.1	0	1184700	1173900	1098800	1098800	0	1156400	0	1230200	0	1724900	1959100
Solyc05g023820.2.1	0	0	0	0	0	282520	0	0	0	0	0	0
Solyc05g026490.2.1	0	0	0	0	0	0	0	0	0	289990	1482900	238020
Solyc05g026560.2.1	0	0	0	0	219970	0	0	0	0	0	0	0
Solyc05g041910.2.1	0	0	0	3795000	0	0	0	1866900	0	6100300	23292000	10436000
Solyc05g046330.2.1	3128800	4880300	3529700	2518900	3332000	3047100	3684300	6258100	3187900	6578100	11548000	8438000
Solyc05g047530.2.1	0	0	0	0	0	0	0	0	0	0	3422900	0
Solyc05g050120.2.1	854880	1065500	477440	8037500	11425000	1341400	3453600	6758100	3287100	165080000	449320000	83527000
Solyc05g050980.2.1	0	0	0	0	0	0	0	0	0	0	113920000	0
Solyc05g051780.2.1	1922600	3178900	4378700	2276700	2028900	1619500	2588400	4915800	3767400	1221600	950660	4116400
Solyc05g052150.2.1	0	446590	0	0	0	0	0	0	0	569030	6275600	2241800
Solyc05g052280.2.1	1691400	1375200	1971900	4288100	2067800	2118500	2451800	2402400	2103500	55230000	36016000	70787000
Solyc05g052510.2.1	62789000	108830000	60102000	114120000	120210000	105830000	67997000	149340000	91315000	120580000	118050000	90418000
Solyc05g052600.2.1	7881700	5484100	3723000	19210000	18225000	6503000	10357000	6414800	5975700	82199000	164920000	34373000
Solyc05g052760.2.1	0	0	0	2377100	2078600	5231100	0	0	0	4237700	5125200	5767000
Solyc05g052800.2.1	0	1784800	0	0	0	0	0	0	0	0	0	990840
Solyc05g053100.2.1	6261100	17160000	4894200	5775200	18735000	16752000	7567400	16293000	6965700	228390000	141350000	81475000
Solyc05g053140.2.1	0	0	0	0	0	0	0	0	1149800	0	0	0
Solyc05g053300.2.1	4914100	3612000	4276400	6072700	13130000	2819200	3449000	4401500	4182900	21610000	64576000	16526000
Solyc05g053470.2.1	4706000	4055500	4137000	5648800	12695000	8855500	4517300	3628400	2820200	32367000	74261000	11891000
Solyc05g053600.2.1	922910	1332500	0	2488500	3070900	1447500	1634700	2074300	2157500	28938000	50901000	24493000
Solyc05g053650.2.1	6475800	23922000	21151000	11582000	21889000	22071000	15340000	21038000	16431000	37787000	61709000	35795000
Solyc05g053960.2.1	0	0	0	0	0	0	0	0	0	0	0	158630
Solyc05g054120.1.1	11007000	7616800	11132000	9424300	7839100	11250000	13788000	8985800	8941300	7542200	11164000	10651000
Solyc05g054380.1.1	0	0	0	0	0	0	0	0	0	0	1205500	0
Solyc05g054480.2.1	0	7901500	0	0	0	0	0	0	0	0	0	0
Solyc05g054580.2.1	33675000	51802000	57890000	36447000	43885000	62071000	40977000	67429000	74168000	71226000	111210000	93151000
Solyc05g054640.2.1	38250000	68773000	37694000	25134000	52429000	57621000	47369000	75720000	55438000	87262000	142260000	36762000
Solyc05g054800.1.1	0	0	0	0	0	0	0	0	0	1317400	4411800	0
Solyc05g055430.2.1	0	0	0	0	0	0	0	0	0	0	459120	0
Solyc05g055720.1.1	0	0	0	0	0	0	6868700	0	0	0	0	0
Solyc05g055850.2.1	0	0	0	0	0	0	0	0	0	0	0	213560
Solyc05g055990.2.1	0	0	3083400	0	4039900	4061100	0	3112600	4814400	10196000	12654000	6106400
Solyc05g056270.2.1	0	0	0	0	0	0	0	0	0	583180	2132300	0
Solyc05g056290.2.1	0	0	0	0	0	0	0	0	0	698560	5938500	0
Solyc05g056300.2.1	0	0	0	0	0	0	0	0	0	1163400	0	0
Solyc05g056400.2.1	5571400	4415700	2695600	5593800	6608400	714970	3808900	3943300	1686500	2580800	3678300	1289900
Solyc06g005260.2.1	0	0	0	0	0	0	0	0	0	551070	0	0
Solyc06g005360.2.1	0	0	0	0	0	0	0	0	0	0	1776300	0
Solyc06g005940.2.1	14017000	18839000	17755000	23605000	31113000	11237000	15619000	18003000	9041400	25476000	26198000	13776000
Solyc09g059310.2.1	0	0	0	0	0	0	0	0	0	1721200	0	0
Solyc06g008160.2.1	1347600	6188000	3001400	3458400	2986400	5711400	6581600	4425900	2482200	15516000	32656000	12201000
Solyc06g008260.2.1	4149500	17122000	12204000	4658700	27638000	33278000	8328400	8382300	7363800	16754000	60126000	14507000
Solyc06g009290.2.1	0	0	0	0	0	0	0	0	0	3512100	3809900	0
Solyc06g009630.1.1	0	0	0	0	0	0	0	0	0	5433000	12324000	0
Solyc06g009940.1.1	0	1277900	0	1812600	0	1386600	0	0	0	161620000	407920000	55541000
Solyc06g010060.1.1	0	0	0	0	0	0	0	0	0	681240	3025200	1080500
Solyc06g011350.2.1	0	0	0	0	1944200	0	0	0	0	0	0	0
Solyc06g034390.1.1	0	0	1851400	0	0	0	0	0	0	0	0	0
Solyc06g036000.2.1	1865200	1783000	0	1600100	1679500	0	2548200	1833600	1965800	1421200	0	0
Solyc06g048540.2.1	0	0	0	0	0	0	0	0	0	0	1608900	0
Solyc06g049050.2.1	0	6337400	7101600	5555900	3842300	1978200	3547900	3206100	5960000	0	3191700	0
Solyc06g049080.2.1	0	0	0	0	1379200	0	0	0	0	2016300	14834000	0
Solyc06g050130.2.1	0	2295400	0	0	0	0	0	0	0	2903600	0	12081000
Solyc06g051010.1.1	4722800	3248400	0	5185800	3363400	3144400	4202900	2289400	3266400	0	1920600	0
Solyc06g051310.2.1	0	0	0	0	0	0	0	0	0	0	0	1964000
Solyc06g053140.2.1	0	763910	0	0	0	0	0	0	0	1145700	13488000	720200
Solyc06g053400.2.1	0	0	0	0	569740	0	0	0	0	0	1621500	0
Solyc06g053480.2.1	0	0	0	0	0	0	601780	0	0	917090	5847000	0
Solyc06g054080.2.1	19200000	17579000	22891000	26023000	22589000	23519000	29537000	23928000	22193000	10959000	7982300	24661000
Solyc06g054260.1.1	5983400	16456000	3487500	24246000	55619000	16011000	14698000	5868900	6072100	278480000	613470000	141300000
Solyc06g060250.2.1	0	705700	0	1091400	1129500	0	1566900	1355700	1559200	3839700	10370000	3473800
Solyc06g060260.2.1	0	0	0	0	0	0	0	0	0	1433900	4802100	0
Solyc06g060640.1.1	158230000	215680000	401530000	132810000	156830000	149410000	34716000	61400000	142720000	75609000	38465000	90646000
Solyc06g061150.2.1	0	2101600	1408600	2077900	2662000	1298700	1679600	3256100	1591700	4110700	3413500	3888800
Solyc06g062280.2.1	0	0	0	0	0	0	0	0	0	0	1807500	0
Solyc06g062350.2.1	19486000	22030000	22298000	21667000	29734000	24937000	21128000	22280000	23950000	16695000	19159000	25788000
Solyc06g062370.2.1	0	845040	0	0	0	0	823330	975500	1015600	0	0	0
Solyc06g062580.2.1	0	0	0	0	0	0	0	0	0	4995100	0	0
Solyc06g063240.2.1	7138500	1979000	4882700	3082400	2309300	2675800	5764600	3352900	2394000	4265600	4670000	7056900
Solyc06g063370.2.1	70038000	103370000	516790000	109670000	318870000	285930000	1.02e+08	262750000	387610000	929100000	2012200000	808930000
Solyc06g065490.2.1	0	0	0	0	3372300	0	0	0	0	4569800	17579000	4255600
Solyc06g065560.1.1	0	0	0	0	0	0	0	0	0	3324200	0	4503800
Solyc06g065970.1.1	1108400000	944970000	1049100000	1269100000	1360600000	978850000	888620000	571110000	889970000	606640000	578480000	912710000
Solyc06g065990.1.1	0	0	0	0	0	0	0	0	0	0	10043000	0
Solyc06g066000.1.1	2874600	5249700	493830	4106100	8975100	7704600	6458800	2433500	4232500	92119000	268820000	41313000
Solyc06g066060.2.1	35980000	31177000	30378000	48664000	28982000	67441000	26093000	28212000	78270000	17974000	16801000	27942000
Solyc06g066100.2.1	2095800	8542500	4151000	3707500	10687000	6399100	3639000	9863400	3540800	23828000	25350000	7978600
Solyc06g066620.2.1	0	0	0	0	0	0	0	0	0	728860	13983000	446920
Solyc06g067910.2.1	90782000	68989000	86648000	84378000	89145000	30512000	56106000	76150000	64540000	71474000	84360000	96310000
Solyc06g067920.2.1	0	0	0	0	0	0	0	0	0	0	1882500	0
Solyc06g067940.2.1	0	0	0	0	0	0	0	0	0	0	4153300	0
Solyc06g068010.2.1	0	0	0	0	0	0	0	0	0	693140	0	802260
Solyc06g068040.2.1	24819000	9730000	15983000	19944000	11824000	11135000	17795000	12325000	15443000	7939900	4742800	9203700
Solyc06g068220.2.1	0	0	0	0	0	0	0	0	0	769930	2253800	0
Solyc06g068280.2.1	30369000	28997000	34258000	30812000	24084000	15131000	31410000	38454000	33203000	33906000	15055000	40958000
Solyc06g068480.2.1	0	0	0	0	0	0	0	0	0	3397700	15457000	3293100
Solyc06g068670.2.1	0	0	0	0	0	0	0	0	0	1341900	2844000	1278400
Solyc06g068970.2.1	0	0	756810	0	0	0	0	0	0	0	0	0
Solyc06g069030.2.1	0	0	0	0	0	0	0	0	0	0	1989100	0
Solyc06g069170.2.1	0	0	0	0	2201500	0	0	0	0	1899500	10913000	0
Solyc06g069730.2.1	0	15821000	0	0	16128000	0	13574000	16641000	0	42210000	96472000	5192000
Solyc06g071050.2.1	0	1525200	2171800	0	0	0	1230900	0	2137300	3304700	2970900	3836400
Solyc06g071100.2.1	623610000	573490000	675690000	603030000	632070000	760840000	600120000	683970000	8.46e+08	3.99e+09	4121400000	1268800000
Solyc06g071910.2.1	32764000	58843000	46152000	34506000	81353000	36500000	42586000	88069000	44234000	41406000	54145000	39599000
Solyc06g071920.2.1	85886000	127840000	58697000	84128000	112620000	109700000	99538000	146050000	90640000	294170000	595970000	332750000
Solyc06g072120.2.1	19163000	29240000	27527000	37466000	44913000	35533000	22512000	39440000	35543000	53945000	146800000	48963000
Solyc06g072220.1.1	0	1772200	0	0	1876400	0	1004400	1467700	0	1193900	0	3621000
Solyc06g072280.2.1	51135000	155140000	123910000	96046000	157600000	133320000	128890000	172390000	162170000	115510000	85177000	87578000
Solyc06g072350.2.1	90566000	259910000	250630000	354140000	83216000	207030000	147780000	55322000	183470000	125470000	124630000	168510000
Solyc06g073190.2.1	0	0	0	0	0	0	0	0	0	1372900	0	1431800
Solyc06g073280.2.1	0	0	0	0	1623000	0	0	0	0	0	8401500	1294500
Solyc06g073700.2.1	0	0	737690	0	0	0	0	0	0	0	0	0
Solyc06g073740.2.1	83165000	212620000	151360000	157630000	207400000	110200000	154420000	216300000	152140000	96264000	59525000	111670000
Solyc06g073870.2.1	0	0	0	0	0	0	408930	659390	693640	0	0	0
Solyc06g074150.2.1	0	0	1602800	0	0	0	0	0	0	0	0	0
Solyc06g074200.2.1	1542200	0	0	0	0	0	0	0	2216800	0	4143400	1412200
Solyc06g074430.2.1	0	1605000	1031400	0	1414900	0	0	1652100	0	1335600	3752100	1006000
Solyc06g074820.2.1	1566600	1730700	2185700	3406200	1851800	0	4534300	0	7117200	7970800	17709000	3906500
Solyc06g074890.1.1	0	0	0	0	0	0	0	0	0	1852800	6593300	1612600
Solyc06g075130.2.1	0	0	0	0	0	0	0	0	0	0	0	0
Solyc06g076220.2.1	0	8637100	11979000	4508000	5361000	8765100	0	6788900	8586600	3650000	0	4959000
Solyc06g076790.1.1	0	0	0	0	0	0	0	0	0	0	0	5895700
Solyc06g076970.2.1	0	0	0	0	0	0	0	0	0	0	2237700	0
Solyc06g081980.1.1	678930	1180200	0	3589700	1742600	656460	0	0	0	4976300	18533000	1551200
Solyc06g082620.1.1	2296300	2485300	0	3325900	2876900	0	2758400	2828200	0	1291200	0	1632100
Solyc06g082950.2.1	3373900	4520800	6303400	7810100	24190000	20255000	0	5913000	41046000	179710000	510100000	196360000
Solyc06g083260.2.1	0	0	0	0	0	0	0	0	0	0	0	429570
Solyc06g083300.2.1	3495800	2941000	1619400	0	2051800	0	3041800	1715400	0	11190000	20780000	8995000
Solyc06g083310.2.1	9457700	19329000	10729000	17014000	18384000	17997000	21515000	26966000	10289000	19903000	27125000	14097000
Solyc06g083530.2.1	0	0	0	0	0	998810	0	0	0	0	0	0
Solyc06g083650.2.1	2546600	7041000	9647700	5532400	5371200	4838600	4303100	9075700	7759900	5165100	2767500	7659900
Solyc06g083690.2.1	0	0	0	0	0	0	0	0	0	639680	2623600	654300
Solyc06g083750.2.1	0	10995000	0	0	0	0	0	0	0	0	0	0
Solyc06g083790.2.1	0	0	0	0	0	0	0	0	0	1964600	9169000	0
Solyc06g083820.2.1	0	0	0	0	0	0	0	0	0	505190	1537800	0
Solyc07g005090.2.1	0	3266100	4335600	5462400	6608800	11621000	5496400	4538200	0	7253400	0	20012000
Solyc07g005180.2.1	0	0	1010100	0	0	770420	985550	0	657600	1048600	1120200	1004200
Solyc07g005190.2.1	12311000	27289000	24890000	12759000	23263000	22663000	14502000	26192000	33404000	13644000	11088000	14427000
Solyc07g005330.2.1	0	0	1547100	1405500	2712400	0	0	1791500	0	39820000	27776000	10378000
Solyc07g005390.2.1	1478800	2917200	1556100	2504700	8387200	2365400	2061600	2020600	1750600	6912400	21247000	3890000
Solyc07g005600.2.1	0	0	0	0	0	0	0	0	0	0	2620000	0
Solyc07g006260.2.1	0	756820	0	0	0	0	0	0	0	0	0	0
Solyc07g006280.2.1	1510100	943550	849890	991040	0	0	0	0	885540	4917200	6771200	1925000
Solyc07g006490.2.1	0	0	0	0	0	0	0	0	0	0	0	0
Solyc07g006520.2.1	0	0	0	0	0	0	0	1602400	0	2849400	8274200	2159600
Solyc07g006790.2.1	2302100	2714800	2835000	3056300	3207600	2514600	2453500	2733900	0	15904000	48381000	3901200
Solyc07g006890.1.1	0	0	0	2385100	2645400	0	0	0	0	20083000	13783000	3093000
Solyc07g007110.2.1	0	0	0	0	0	0	0	0	0	0	1577800	0
Solyc07g007600.2.1	23777000	27426000	25361000	23740000	29638000	23708000	26973000	28851000	24517000	60627000	144630000	40173000
Solyc07g007760.2.1	2178900	2571800	1071600	1641500	3559900	3468800	4003300	2901000	952910	18190000	14079000	7402700
Solyc07g007780.2.1	0	0	0	626660	572120	0	620950	0	0	1144500	968300	755610
Solyc07g008370.2.1	22265000	117310000	86355000	37206000	49824000	68011000	52259000	76248000	71866000	43114000	83798000	116880000
Solyc07g008530.1.1	0	0	0	0	0	0	0	0	0	1487600	0	0
Solyc07g008710.2.1	0	0	0	0	0	2269100	0	0	0	0	0	0
Solyc07g009140.2.1	6523800	4609200	6131400	7367800	7579000	6078000	6537200	11883000	6619800	9698800	19562000	17723000
Solyc07g009380.2.1	0	0	0	0	0	0	0	0	0	1211500	0	482670
Solyc07g014700.2.1	27626000	65938000	65696000	60718000	58292000	70305000	67503000	83106000	70314000	88498000	93052000	77279000
Solyc07g014730.2.1	3672100	2904600	3803200	4524000	2134900	3413700	3714200	0	2513200	1951800	2165100	2765800
Solyc07g017600.2.1	3321800	4555800	5551600	3416600	4159800	3350300	2686200	3499900	5346700	2410300	2611400	3135000
Solyc07g017780.2.1	10927000	15832000	14584000	9371700	12668000	15003000	9231800	12706000	13956000	47834000	40262000	24633000
Solyc07g017880.2.1	0	0	0	0	0	0	0	0	0	13690000	0	3929000
Solyc07g022770.1.1	0	0	185410	0	0	0	0	0	0	0	0	0
Solyc07g026770.2.1	0	0	0	0	0	0	0	0	0	1352800	1627700	0
Solyc07g041310.2.1	2487200	2881400	3547800	5143800	3496500	5160700	3855500	3410100	2926800	2560600	4823100	2866200
Solyc07g041720.1.1	629350000	3564100000	4173700000	4844800000	3782800000	2.393e+09	2662500000	3607200000	4077300000	1297400000	865760000	3473200000
Solyc07g041790.1.1	0	13410000	0	0	0	0	0	0	0	0	0	0
Solyc07g042250.2.1	0	1902100	561680	942020	2828300	2029300	1328600	1091300	427070	7679300	11919000	1316100
Solyc07g042300.1.1	0	2580000	2036700	3269900	2035600	1488500	1396800	2770400	2391700	1089100	0	3009500
Solyc07g042390.1.1	0	1089400	0	0	989340	655040	0	0	0	0	0	0
Solyc07g042440.2.1	1435700	856300	1169400	2036000	2403200	1679100	947260	2431300	1105100	16829000	80350000	18428000
Solyc12g009300.1.1	0	0	0	0	0	0	0	0	0	1191500	0	0
Solyc07g042570.2.1	0	590220	0	0	638520	0	511130	566690	504720	3031600	1018200	1036500
Solyc07g043310.2.1	0	0	0	0	0	0	0	0	0	6205000	17876000	2938000
Solyc07g044840.2.1	0	1265100	1474100	0	3647100	0	0	0	1137600	1182800	2396700	1763000
Solyc07g045540.2.1	12549000	15057000	9053400	5301000	12349000	16421000	8180000	16019000	12698000	7163400	22030000	14908000
Solyc07g047850.2.1	0	0	0	0	0	0	0	0	0	14816000	0	0
Solyc07g049230.1.1	0	0	0	0	0	0	1386200	0	0	0	0	0
Solyc07g049450.2.1	41016000	68991000	18436000	37620000	79819000	34923000	43270000	92811000	35877000	46513000	48406000	42852000
Solyc07g049480.2.1	51045000	45529000	66678000	39531000	56320000	48444000	65565000	62131000	64912000	38939000	31177000	47719000
Solyc07g049730.2.1	0	0	0	0	0	0	0	0	0	0	0	498740
Solyc07g051850.2.1	0	0	0	1683800	1646400	846890	1703400	1387300	1991100	16395000	28122000	14482000
Solyc07g052140.2.1	0	0	0	0	0	0	0	0	0	1475000	1394300	889080
Solyc07g052350.2.1	0	0	0	4052400	4126200	0	0	0	0	13061000	29670000	7266200
Solyc07g052480.2.1	1623200	721860	533150	5576900	8230300	1809200	351290	643910	312950	153340000	214060000	58500000
Solyc07g052510.2.1	3856700	959700	1567500	1183300	705460	1482400	2658200	846760	1646000	787840	0	2237300
Solyc07g053260.2.1	3405100	3804800	1321800	3992600	4351300	1764600	5789200	5430600	2000100	12315000	17517000	5889800
Solyc07g053280.2.1	0	0	0	0	1252500	1148900	0	0	0	2677500	7512700	860700
Solyc07g053650.2.1	29760000	30977000	25785000	21933000	42840000	47738000	21714000	57934000	53274000	58930000	60037000	32248000
Solyc07g053980.2.1	998500	0	724100	0	0	677110	780940	0	863180	1704400	0	939030
Solyc07g054210.2.1	1328600	1623900	616040	11298000	13066000	800870	1134300	1983600	612380	18578000	118970000	3325000
Solyc07g054290.1.1	0	0	0	390430	2096600	0	0	0	0	9945300	37309000	2822700
Solyc07g054820.2.1	0	0	0	430870	828560	321640	181700	0	0	12696000	46922000	11034000
Solyc07g055320.2.1	110940000	78490000	140020000	69563000	216240000	648630000	162470000	128750000	137990000	254800000	567290000	540050000
Solyc07g055690.1.1	0	0	0	0	0	0	0	0	0	5257200	7264600	4779500
Solyc07g055990.2.1	0	265280	0	0	0	0	0	0	0	0	0	0
Solyc07g056000.2.1	0	0	0	1194100	1355900	0	0	0	0	8289200	2484400	11733000
Solyc07g056050.1.1	0	0	0	0	0	0	0	0	0	0	3077900	0
Solyc07g056140.2.1	0	1976500	0	2227500	3315100	0	1930800	2114400	0	24269000	56955000	4708100
Solyc07g056540.2.1	37627000	50514000	22715000	94980000	97139000	65561000	51512000	79543000	49150000	481430000	1088100000	290770000
Solyc07g062480.1.1	2012800	2915900	2666800	32934000	19934000	15253000	13338000	19805000	14454000	189710000	132990000	219780000
Solyc07g062490.1.1	2704000	2611100	2851900	13792000	10276000	6919900	2951700	11309000	10100000	61196000	34916000	108670000
Solyc07g062570.2.1	0	0	0	0	0	0	0	0	0	0	524740	0
Solyc07g062610.2.1	0	0	0	0	0	0	0	0	0	0	2127200	0
Solyc07g062650.2.1	6290700	7041600	11432000	8991200	25458000	10090000	5377100	12563000	8014900	19358000	39713000	17945000
Solyc07g062700.2.1	1875000	0	1994900	0	1325100	2063800	1637100	0	2073000	0	8806700	5448500
Solyc07g063010.2.1	16706000	18390000	22709000	8288400	16227000	14062000	24407000	39013000	29054000	10117000	3600600	7590700
Solyc07g063190.2.1	0	0	0	2378100	2593800	0	0	0	0	2970400	13970000	3159400
Solyc07g063340.2.1	0	0	0	0	0	0	0	0	0	0	609420	0
Solyc07g063600.2.1	0	32808000	0	15672000	192790000	624950000	32135000	23076000	109870000	69625000	156990000	1034700000
Solyc10g006580.2.1	4705900	10416000	4288200	5539400	8401800	8586100	7528100	9204600	6386800	8294400	18632000	4023100
Solyc07g063960.2.1	8498600	25352000	7703000	7280100	13138000	9043300	6611600	14154000	11138000	10807000	17577000	12908000
Solyc07g064610.2.1	2294200	2853400	3262300	2699500	2484600	3322400	3339900	2900500	3519200	8995600	12870000	5944300
Solyc07g064670.2.1	0	0	0	0	0	0	0	0	0	2038300	0	0
Solyc07g064950.2.1	0	0	0	742090	1724100	0	0	0	0	3428200	15442000	1823300
Solyc07g065030.2.1	0	0	0	0	0	0	0	0	0	0	1053000	0
Solyc07g065050.2.1	0	1066700	0	0	0	2055200	1064700	1410700	0	1341000	2104900	1315400
Solyc07g065120.2.1	0	0	0	3054200	0	0	0	0	0	6673300	4244800	0
Solyc07g065900.2.1	3323800	2978300	813420	10076000	16728000	2664000	2702900	6014400	2058000	39460000	214670000	27319000
Solyc07g066170.2.1	32324000	39772000	59903000	21156000	36630000	42708000	39113000	47030000	81774000	34782000	24129000	68796000
Solyc07g066310.2.1	46240000	56862000	36375000	38210000	49895000	58020000	42800000	40381000	40896000	84513000	120430000	54409000
Solyc07g066320.2.1	5756300	8052000	2578300	7569700	11755000	8230200	7428800	9393600	4180600	9910800	4373300	4956500
Solyc07g066470.2.1	0	0	0	935360	1214000	636530	946350	0	0	4494100	18702000	1372900
Solyc07g066580.2.1	0	0	0	0	0	0	0	0	0	0	1497300	0
Solyc07g066600.2.1	6716100	7716800	6731200	5302200	5352200	7963500	9132100	10049000	6050800	6566100	9688600	5615200
Solyc07g066610.2.1	28917000	43928000	17787000	86207000	182760000	53748000	40604000	54197000	33819000	485050000	1352300000	412700000
Solyc08g005590.2.1	0	0	0	0	0	0	0	0	0	690460	3052400	299090
Solyc08g005680.2.1	6535100	0	0	0	0	0	0	0	0	0	0	0
Solyc08g006090.2.1	0	1247500	591680	683760	1838400	1590800	1179800	519560	553080	1084500	1189100	861740
Solyc08g006880.2.1	0	0	0	0	167470	0	0	0	0	0	0	0
Solyc08g006930.2.1	51143000	52377000	100510000	149250000	169820000	46116000	54637000	146190000	74969000	172770000	117460000	55375000
Solyc08g007040.2.1	0	2126700	0	0	3310500	0	0	0	0	5748600	25149000	4086100
Solyc08g007900.1.1	0	0	57411000	0	0	0	0	0	0	0	0	0
Solyc08g008130.2.1	0	0	0	124560000	0	0	0	0	0	0	0	0
Solyc08g013670.2.1	5851900	8584800	6187500	13899000	29675000	6094300	7775200	10381000	2890700	250930000	368640000	76124000
Solyc08g013860.2.1	0	0	0	0	0	0	0	0	0	0	2523300	0
Solyc08g014130.2.1	0	0	0	0	0	0	0	0	0	678570	1306300	742800
Solyc08g014390.1.1	34745000	14804000	30828000	2623400	2964900	7089000	20636000	2291400	8500700	8810800	7463900	17693000
Solyc12g017570.1.1	0	0	0	0	0	0	0	0	0	559610	2130900	0
Solyc08g023440.2.1	0	0	0	0	0	0	0	986410	0	0	1387200	0
Solyc08g028900.1.1	0	0	0	0	0	0	5847900	0	0	0	0	0
Solyc08g028910.1.1	31951000	21567000	25075000	16204000	17529000	18600000	25225000	16220000	15921000	17851000	8290200	11242000
Solyc08g041870.2.1	0	0	0	0	0	0	0	0	0	3502200	0	0
Solyc08g041980.2.1	0	0	0	0	0	0	0	0	0	9922800	0	0
Solyc08g045710.1.1	0	0	0	0	0	0	0	0	0	9062600	7695300	3805300
Solyc08g048250.2.1	0	0	0	0	0	0	0	0	0	19159000	37819000	12722000
Solyc08g061000.2.1	800260000	768100000	688930000	588480000	764910000	748960000	567940000	578730000	676970000	548710000	328590000	719750000
Solyc08g062660.2.1	0	0	0	798080	0	0	0	0	0	0	0	0
Solyc08g063050.2.1	1720600	1950800	0	0	1926000	0	0	1871200	0	4349900	2401100	2435400
Solyc08g063080.2.1	0	0	0	0	0	0	0	0	0	0	3209400	0
Solyc08g065220.2.1	1621300	3954300	2291000	7632400	30450000	2651700	13389000	1862200	837000	129510000	481680000	74365000
Solyc08g066700.2.1	0	0	0	0	0	0	0	0	0	0	0	409270
Solyc08g066800.2.1	46278000	54775000	51507000	57689000	78075000	73711000	48708000	72890000	70222000	74607000	101930000	58436000
Solyc08g066870.2.1	0	0	0	0	0	0	0	0	0	0	0	4854300
Solyc08g067020.2.1	0	0	0	0	0	0	0	0	0	0	5575100	0
Solyc08g067030.2.1	1.337e+09	1454800000	1945100000	1.701e+09	1445500000	1539100000	1504300000	1832600000	2025200000	778910000	556550000	956700000
Solyc08g067510.1.1	0	283410	0	0	0	0	0	0	0	0	0	0
Solyc08g067620.2.1	0	0	0	0	0	0	0	0	0	0	3910800	0
Solyc08g067830.2.1	0	0	196140	0	0	0	0	0	0	0	0	0
Solyc08g067910.2.1	0	0	0	0	0	418800	0	0	0	0	0	0
Solyc08g067940.2.1	0	0	0	0	0	0	0	0	99743	0	0	0
Solyc08g068580.2.1	58460000	59552000	22595000	64605000	29859000	83724000	62638000	56907000	46118000	21189000	17331000	18091000
Solyc08g069040.2.1	7979400	3868300	3476800	3706200	2840500	1563400	10699000	7175800	5626500	2889500	1279500	4240100
Solyc08g074620.1.1	60280000	93683000	119560000	148740000	186150000	212230000	71113000	108370000	112930000	151830000	186270000	153090000
Solyc08g074630.1.1	0	0	2193300	0	0	0	0	0	0	0	0	0
Solyc08g074680.2.1	0	0	0	0	0	0	0	0	0	37991000	93254000	42927000
Solyc08g075400.2.1	0	0	0	0	0	0	0	0	0	550350	0	0
Solyc08g076090.2.1	0	0	0	0	0	0	0	0	0	0	1706000	0
Solyc08g076220.2.1	9643300	7144400	8847200	36973000	50762000	15963000	12005000	11763000	10183000	108770000	348850000	84870000
