proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc01g087970.2.1	265470000	235680000	259130000	394440000	208250000	261910000	237050000	196290000	264120000	137290000	94254000	116760000
Solyc01g088080.2.1	0	0	0	0	0	0	0	0	0	0	1927200	0
Solyc01g089970.2.1	0	5796300	1571000	1762700	4550400	1233600	3295100	1509700	0	7319600	20489000	3675900
Solyc01g090200.2.1	0	0	0	0	0	0	0	0	0	0	617200	0
Solyc01g090430.2.1	0	0	0	0	0	0	0	0	0	0	1581100	0
Solyc01g090750.2.1	0	0	173760	0	0	0	0	0	0	0	0	0
Solyc01g091190.2.1	643010	441220	0	0	351520	732230	610650	697130	0	1147700	10927000	1196700
Solyc01g091200.2.1	4608600	903080	0	2409700	1278400	1418300	1333900	1752700	0	903950	0	0
Solyc01g091530.2.1	2041100	9687000	11120000	4118100	12540000	5223600	3184000	9013300	11919000	14094000	11713000	9796700
Solyc01g091580.2.1	0	0	0	0	0	0	0	0	0	2030300	4829700	1321400
Solyc01g094200.2.1	0	0	0	0	0	0	0	0	0	2179000	13140000	2358000
Solyc01g094690.2.1	1349000	832500	1042000	1002500	878240	864750	933480	836090	736300	3723400	3294700	1228200
Solyc01g095430.2.1	0	0	0	0	0	0	0	0	0	5313800	24278000	5495600
Solyc01g095670.2.1	0	2982600	0	2695700	3991900	3877700	3506400	4252400	2616600	8274900	42229000	8338900
Solyc01g096490.2.1	787130	1159500	0	733930	0	0	817890	0	677180	0	0	0
Solyc01g096520.2.1	24764000	15707000	13400000	20745000	10395000	18929000	16063000	18433000	11628000	16030000	9747300	15023000
Solyc01g096610.2.1	0	2248900	1660800	1306900	1898500	2457300	886610	1199600	2224400	1295600	984770	1893000
Solyc01g096660.2.1	0	0	0	0	0	0	0	0	0	11074000	30818000	0
Solyc01g096780.2.1	254660000	119110000	156770000	252380000	171750000	219410000	364550000	173190000	239630000	140730000	87347000	172890000
Solyc01g097240.2.1	0	0	0	0	0	0	0	0	0	1948400	0	2583200
Solyc01g097270.2.1	0	0	0	0	0	0	0	0	0	0	697660	936650
Solyc01g097340.2.1	0	2417000	0	0	3043400	0	0	0	0	4043400	20512000	3540800
Solyc01g097460.2.1	0	863610	0	1140000	1345700	0	756710	894820	900730	19172000	56844000	11386000
Solyc01g097810.2.1	0	0	0	503900	786410	0	0	0	0	2056800	7193100	0
Solyc01g097880.2.1	0	0	0	0	0	0	80277	0	0	0	0	0
Solyc08g023590.2.1	0	0	0	0	293290	0	0	0	0	0	0	0
Solyc01g098640.2.1	481490	10321000	1752600	1976600	2520900	4456100	4892800	1797100	1833000	63913000	154260000	41082000
Solyc01g098990.2.1	0	0	0	0	0	0	0	0	0	0	2520600	0
Solyc01g099020.2.1	0	0	0	0	0	0	0	0	0	0	4377800	0
Solyc01g099110.2.1	0	0	0	0	0	0	0	0	0	1865300	6710100	0
Solyc01g099690.2.1	0	0	0	0	0	0	0	0	0	0	5223800	0
Solyc01g099770.2.1	15210000	21152000	8901100	18583000	17896000	13017000	17652000	16837000	10417000	32682000	47275000	18127000
Solyc01g099890.2.1	0	0	0	0	0	0	0	0	0	1380700	1908200	983700
Solyc01g100320.2.1	3334700	3726100	2628400	3723600	5784600	3356000	4142700	4637200	2680900	6726900	13694000	6475200
Solyc01g100360.2.1	1663500	3589900	929220	3195900	10540000	5624100	2002800	3541600	1859700	78434000	58417000	23168000
Solyc01g100520.2.1	0	0	0	0	0	0	0	522030	0	2801200	18293000	1278000
Solyc12g099000.1.1	0	0	0	0	0	0	0	0	0	530650	0	0
Solyc01g102410.2.1	7331000	6377000	3424500	2946600	6672200	11273000	6502100	4954500	5178000	9457200	5712400	5849300
Solyc01g102570.2.1	1710700	2938600	2481100	1992000	1914300	2805700	1741400	2783200	2760600	32374000	34111000	9858300
Solyc01g103100.2.1	0	0	0	0	0	0	597640	522880	0	0	1059500	0
Solyc01g103380.2.1	0	0	0	0	0	0	0	0	0	0	1487600	0
Solyc01g103450.2.1	24953000	30086000	27738000	26152000	35443000	29155000	37297000	24608000	20848000	62860000	174320000	43756000
Solyc01g103750.2.1	0	0	116170	0	297600	0	126420	0	0	2522500	5489100	1943500
Solyc01g104020.2.1	0	0	0	0	0	0	0	609910	0	0	0	0
Solyc01g104370.2.1	0	0	0	0	1908100	0	0	0	0	0	0	0
Solyc01g104400.2.1	3676300	6105700	5944100	1828200	2289600	3933300	3765400	4570300	5660800	1951100	2154000	2554000
Solyc01g105030.2.1	18326000	30817000	27441000	30157000	58016000	53468000	27485000	28154000	22558000	445610000	716280000	283110000
Solyc01g105050.2.1	0	0	0	0	0	0	0	0	0	11413000	16240000	9760000
Solyc01g105060.2.1	68827000	59086000	21623000	40717000	43737000	56698000	48858000	65024000	27956000	44541000	33953000	34910000
Solyc01g105070.2.1	0	0	0	0	1448300	0	0	0	0	31348000	46481000	9870200
Solyc01g105370.2.1	0	0	0	0	0	0	0	0	0	5790600	5903500	0
Solyc01g105410.2.1	19432000	60372000	60068000	40082000	55417000	33531000	54431000	52829000	59451000	40309000	45485000	60053000
Solyc01g105540.2.1	0	827420	0	875000	1099100	0	883460	1095500	639080	3284500	17049000	1402400
Solyc01g105560.2.1	0	0	0	627860	833900	0	0	0	0	1998600	5263300	700540
Solyc01g106260.2.1	1049400	1881700	0	1450600	1669900	1065600	2235100	1443300	0	4760600	8817100	2178000
Solyc01g106430.2.1	0	0	0	0	0	0	0	0	0	0	4728100	0
Solyc01g106480.2.1	16343000	19478000	13074000	20221000	33479000	17854000	16854000	18951000	13484000	88028000	291510000	66067000
Solyc01g106580.2.1	3485200	4517800	4433700	2941200	3534700	3429400	4824200	8835200	4047100	3391800	3880000	3430400
Solyc01g106620.2.1	0	611330	3220900	1790800	1461700	0	2766000	0	0	26306000	83452000	20398000
Solyc01g107130.2.1	0	955530	0	0	1194500	0	1026800	0	0	1381500	12130000	1239800
Solyc01g107640.2.1	0	0	0	0	0	0	0	0	0	0	1160500	0
Solyc01g107820.2.1	0	0	0	0	0	0	0	0	0	2780500	5890800	1334900
Solyc01g107870.2.1	13403000	52103000	25881000	29393000	37061000	29272000	20550000	35535000	23230000	59139000	115170000	49341000
Solyc01g108150.2.1	20271000	34581000	26790000	22252000	24948000	21925000	28550000	41394000	31450000	24838000	31786000	22177000
